category,type,code,quantity,description,lastBuy,seller,price,
IC – Regulator,TO-220,7812CT,2,POSITIVE VOLTAGE REGULATORS 12V,,,,
IC – Logical Port,DIP14,74LS30N,2,8-INPUT POSITIVE-NAND GATES,recuperato,,,
IC – Logical Port,DIP14,DM74LS02,4,Quad 2-Input NOR Gate,recuperato,,,
IC – Logical Port,DIP16,DM74LS75,1,4-BIT D LATCH,recuperato,,,
IC – OpAmp,DIP14,KA324A,1,Quad Operational Amplifier,recuperato,,,
IC,DIP24,DM74154,1,4-Line to 16-Line Decoders Demultiplexers,(recuperato),,,
IC,DIP18,ULN2803,5,8-channel darlington,25/05/14,HobbyComponents,"€ 2,45",pack5
IC,32pin QFP,A1362Q,1, READ/WRITE AMPLIFIER FOR FLOPPY DISK DRIVE WITH BUILT-IN FILTER,recuperato,,,
,,,,,,,,
IC-SRAM,DIP24,HM6116P-4,1, 2048-word X 8bit High Speed CMOS Static RAM,recuperato,,,
REGOLATORE,?,?,1,"3,3V regulator chip",19/08/14,BuildCircuit.com,"€ 1,50",
Shield,Amarino,Amarino Shield 3.0,1,Amarino Shield 3.0,19/08/14,BuildCircuit.com,"€ 11,00",
LED,,RGB LED,2,RGB led,19/08/14,BuildCircuit.com,"€ 1,00",
SENSORE,,LM35DZ,1,Sensore di temperatura,19/08/14,BuildCircuit.com,"€ 1,50",
IC,,AT24C32 – DS1307,1,Real Time Clock for Arduino,19/08/14,BuildCircuit.com,"€ 2,50",
,,,,,,,,
ACCELLEROMETRO,3-AXIS,adxl345,1,13 bit 3-axis accelerometer with SPI and I2C interface,,,,
Ultrasonic ranging module,,HC-SR04,1,"2cm - 400cm non-contact measuremen, TTL ",25/05/14,HobbyComponents,"€ 2,15",
,,,,,,,,
Bluetooth Module,,HC-05,1,"Master/Slave Bluethooth Module, 3,3V",25/05/14,HobbyComponents,"€ 7,37",
,,,,,,,,
MICROCONTROLLORI,NEC,D8049PC,1,8-bit microntroller,(recuperato),,,
,,,,,,,,
,,,,,,,,
RELE,-,-,1,Modulo 4 rele arduino,,,,
,,,,,,,,
PROGRAMMATORE,BlackcatUSB,,1,Universal Memory Programmer,,"http://blackcatusb.net
http://www.embeddedcomputers.net/products/FlashcatUSB/",,
,,,,,,,,
TRANSISTOR,,TIP42C,1,PNP Power Transistor 6A,(recuperato),,,
DRIVER,MFP14S,LB1838,1,"Low-saturation, Bidirectional Motor Driver for Low-voltage Applications",(recuperato),,,
DRIVER,TOSHIBA,TA7291,3,H-Bridge Driver bipolare,(recuperato),,,
RELE,YUYU,UT205,1,Rele 12VDC – 220 3A,(recuperato),,,
RELE,DEG,PCJ-112D3M,2,Rele 12VDC – 220 3A,(recuperato),,,
DRIVER,KEC,KID65783AP,1,8CH high-voltage source driver,(recuperato),,,
DRIVER,KEC,KID65004,2,7 Darlington Transistor Array,(recuperato),,,
REGOLATORE,,7812A,1,Regolatore 12V,(recuperato),,,
REGOLATORE,Power Integration,TOP244YN,1,OFF LINE SWITCHER,(recuperato),,,
,,,,,,,,
ARDUINO,Atmega328P Pro Mini,-,1,Scheda del microcontrollore Atmega328P Pro Mini,15/09/14,http://www.tinydeal.com/,"€ 3,58",
DISPLAY,Nokia,"5110 1,6”",1,1.6 Nokia 5110 modulo LCD blu retroilluminato per ,15/09/14,http://www.tinydeal.com/,"€ 2,65",
BREADBOARD,-,-,1,Breadboard 400 Holes Red And Blue Lines Solderless ,15/09/14,http://www.tinydeal.com/,"€ 2,10",
DRIVER,-,298N,2,298N Stepper Motor Driver Controller Board,15/09/14,http://www.tinydeal.com/,"€ 4,46",
,,,,,,,,
,,,,,,,,
,,,,,,,,
PowerSupply,-,AMS1117,1,3.3V Output AMS1117-3.3 V DC/DC Power Supply Module Voltage Regulator,03/11/14,http://myworld.ebay.it/alice1101983,"€ 1,79",arrivati 2/12/2014
RELE,-,-,2,5V Indicator Light LED Two 2-Channel Relay Module Arduino ARM PIC AVR DSP,03/11/14,http://myworld.ebay.it/alice1101983,"€ 2,22",
WIFI Module,-,ESP8266 ,2,ESP8266 Serial WIFI Wireless Transceiver Module Send Receive LWIP AP+STA A,03/11/14,http://myworld.ebay.it/alice1101983,"€ 1,86","https://nurdspace.nl/ESP8266#Translated_datasheet
http://www.esp8266.com/
https://www.zybuluo.com/kfihihc/note/31135
http://www.esp8266.com/"
RF Module,-,NRF24L01,2,Arduino NRF24L01+ 2.4GHz Antenna Wireless Transceiver Module For Microcontroll,03/11/14,http://myworld.ebay.it/alice1101983,"€ 0,75",
TEMPERATURE SENSOR,DALLAS,DS18B20,2,DALLAS DS18B20 18B20 TO-92 Thermometer Temperature Sensor,03/11/14,http://myworld.ebay.it/alice1101983,"€ 0,75",
LED,SMD,Blue SMD,100,100Pcs Blue 0805 SMD SMT Super Bright LED top,03/11/14,http://myworld.ebay.it/alice1101983,"€ 2,42",
PROTO BOARD,-,PROTO BOARD,5, 5 x 7 cm DIY Prototype Paper PCB fr4 Universal Board prototyping pcb kit,03/11/14,http://myworld.ebay.it/alice1101983,"€ 1,26",
Bluetooth Module,-,-,2,Bluetooth Serial Transceiver Module Base Board with clear button Arduino,03/11/14,http://myworld.ebay.it/alice1101983,"€ 1,10","SOLO BOARD, letto male, modulo BT non compreso"
DIODI,SMD,1N4007,200,200PCS LL4007 M7 1N4007 DO-214 SMD 1A 1000V Rectifier Diodes,03/11/14,http://myworld.ebay.it/alice1101983,"€ 2,50",
REGOLATORE,-,LM7805,1,LM7805 Step Down Converter 7.5V-35V to 5V Regulator Power Supply Module,03/11/14,http://myworld.ebay.it/alice1101983,"€ 2,82",
MODULE,mjkdz.com,I2C – lcd1602,1,I2c interface for 1602 LCD Display,22/7/2015,http://myworld.ebay.it/alice1101983,"1,74$",
PowerSupply,MB102,"3,3-5V",6,Breadboard power supply,22/7/2015,http://myworld.ebay.it/alice1101983,"1,1$",
BREADBOARD,-,400pin,1,Mini-breadbord 400hole,22/7/2015,http://myworld.ebay.it/alice1101983,"1,69$",
SENSORE,-,DHT11,1,Sensore temperatura e umidita',22/7/2015,http://myworld.ebay.it/alice1101983,"1,44$",
Bluetooth Module,-,HM-10 CC2541,2,BT 4.0 UART Transceiver,22/7/2015,http://myworld.ebay.it/alice1101983,"4,95$",
PowerSupply,-,AMS117 Module,5,"AMS1117 Power Supply Module 3,3V",22/7/2015,http://myworld.ebay.it/alice1101983,"0,35$",
PowerSupply,-,"5to3,3V",1,"Bidirectional logic levelconverter 5 to 3,3V",22/7/2015,http://myworld.ebay.it/alice1101983,"1,17$",
SENSORE,-,DHT11,1,Sensore temperatura e umidita',13/7/15,Ebay – e_goto (105329),"1,50$",
CONNETTORI,-,KF2510-4P,10,"2,54mm Angle pin header and connector",13/7/15,Ebay – e_goto (105329),"0,19$",
MODULE,Espressif,ESP8266 – ESP-12E,2,Wifi Transceiver,13/7/15,Ebay – e_goto (105329),"3,88$",
SENSORE,- ,MQ4,1,Sensore  Gas naturale e metano,13/7/15,Ebay – e_goto (105329),"2,00$",
SENSORE,- ,MQ5,1,Sensore GPL e metano,13/7/15,Ebay – e_goto (105329),"1,77$",
SENSORE,- ,MQ7,1,Sensore ossido di carbonio,13/7/15,Ebay – e_goto (105329),"2,08$",
